Pers.no.,Action Type,Reason for Action,CoCd,Company Code,Personnel Area,Personnel Subarea,Cost ctr,Cost Center,Organizational Unit,Start date Action
00000292,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Cold End Job Change,12/11/2001
00000294,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,B Shift,26/04/2003
00000296,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,31/05/2002
00000298,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,C Shift,16/08/2008
00000300,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,D Shift,24/10/2010
00000301,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9190,SYD Resort,Plant Procedures & Specifications (ISO),11/06/2005
00000306,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9240,SYD Maint - Machine,Machine Maintenance,17/03/2013
00000306,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,,,,17/03/2013
00000307,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,C Shift,26/07/2005
00000308,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,B Shift,22/08/2004
00000310,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,AUDIT,13/11/2013
00000314,Auto Terminations,Retrenchment(Don't Use),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,12/11/2013
00000315,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,1/01/2003
00000318,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,13/11/2013
00000319,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9002,SYD Shift 2,B Shift,13/11/2013
00000320,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9817,SYD SP33 MachineLine,B Shift,24/06/2019
00000320,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,,,,24/06/2019
00000321,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,9/11/2013
00000323,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,5/07/2011
00000325,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9280,SYD Cust Tech Serv,Customer Technical Services,28/02/2004
00000326,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,12/03/2006
00000327,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9004,SYD Shift 4,D Shift,13/11/2013
00000329,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9250,SYD Maint - Cold End,Maintenance-Cold End,30/10/2011
00000330,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9190,SYD Resort,Inspection & Packaging,20/03/2005
00000337,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9004,SYD Shift 4,D Shift,13/11/2013
00000339,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Engineering,25/03/2000
00000342,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Plant Mechanical Sydney,13/11/2013
00000344,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9003,SYD Shift 3,C Shift,13/11/2013
00000346,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,29/12/2013
00000347,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Cold End Job Change,13/11/2013
00000348,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,C Shift,23/12/2002
00000350,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,29/12/2013
00000351,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,AUDIT,12/11/2013
00000352,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,22/01/2000
00000354,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,17/01/2015
00000355,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,B Shift,27/12/1999
00000356,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,12/11/2013
00000357,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,D Shift,13/09/2008
00000358,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9060,SYD Integrated Syste,Customer Technical Services,1/08/2017
00000360,Auto Terminations,Contract Expired,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9240,SYD Maint - Machine,Machine Maintenance,3/04/2004
00000361,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9190,SYD Resort,Plant Procedures & Specifications (ISO),22/02/2003
00000363,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,29/12/2013
00000364,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,A Shift,26/03/2007
00000367,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9270,SYD Manufacturing,Manufacturing,29/06/2013
00000372,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Plant Procedures & Specifications (ISO),6/11/2004
00000374,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,D Shift,27/08/2007
00000376,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,C Shift,26/01/2008
00000377,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9004,SYD Shift 4,D Shift,13/11/2013
00000381,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,13/11/2013
00000382,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,23/01/2004
00000386,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9290,SYD HR & Training,Engineering,17/02/2002
00000391,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9240,SYD Maint - Machine,Machine Maintenance,18/08/2007
00000392,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9003,SYD Shift 3,C Shift,13/11/2013
00000393,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,13/11/2013
00000398,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,30/11/2013
00000399,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Cold End Job Change,13/11/2013
00000401,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Plant Maintenance Sydney,13/11/2013
00000404,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,18/07/2008
00000406,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9220,SYD Maint - General,Maintenance-Cold End,17/03/2013
00000407,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Cold End Job Change,13/03/2004
00000410,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,D Shift,22/08/2002
00000411,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,B Shift,5/02/2005
00000412,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,B Shift,6/05/2005
00000417,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9190,SYD Resort,Stock Control,2/10/2010
00000419,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Cold End Job Change,29/08/2011
00000419,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,,,,29/08/2011
00000421,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Engineering,15/10/2011
00000423,Auto Terminations,Retrenchment(Don't Use),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,12/11/2013
00000425,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Machine Maintenance,30/10/2011
00000425,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,,,,30/10/2011
00000426,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,12/11/2013
00000427,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,A Shift,11/07/2004
00000428,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,D Shift,26/01/2008
00000432,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,B Shift,3/09/2004
00000439,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,26/03/2011
00000440,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,21/07/2006
00000441,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,29/01/2004
00000444,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,B Shift,10/05/2003
00000446,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,1/02/2003
00000447,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,11/07/2010
00000450,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,B Shift,25/01/2002
00000452,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,B Shift,22/07/2006
00000453,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9003,SYD Shift 3,C Shift,13/11/2013
00000454,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9003,SYD Shift 3,C Shift,13/11/2013
00000455,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9330,SYD Procurement,Business Services,15/09/2006
00000458,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,15/11/2013
00000460,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9060,SYD Integrated Syste,O-I Sydney Plant,12/04/2017
00000462,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Engineering,15/01/2000
00000466,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,D Shift,13/12/2001
00000467,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9004,SYD Shift 4,D Shift,13/11/2013
00000468,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,B Shift,29/10/2006
00000471,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9180,SYD Audit,Plant Procedures & Specifications (ISO),18/06/2005
00000475,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,C Shift,3/10/2009
00000476,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9250,SYD Maint - Cold End,Maintenance-Cold End,7/12/2011
00000477,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,25/04/2013
00000478,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,29/12/2013
00000481,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,D Shift,16/01/2019
00000482,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Stock Control,8/07/2007
00000485,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9180,SYD Audit,Plant Procedures & Specifications (ISO),9/03/2002
00000488,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,15/09/2007
00000490,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,28/11/2013
00000491,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,A Shift,5/07/2009
00000493,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9330,SYD Procurement,Business Services,14/11/2001
00000494,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9220,SYD Maint - General,Plant Mechanical Sydney,13/11/2013
00000495,Termination (HR checklist),Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9220,SYD Maint - General,Maintenance-Cold End,25/03/2013
00000500,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,21/07/2006
00000502,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,20/02/2002
00000504,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,13/11/2013
00000513,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Machine Maintenance,22/10/2011
00000513,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,,,,22/10/2011
00000516,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9250,SYD Maint - Cold End,Maintenance-Cold End,29/08/2011
00000519,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,24/03/2005
00000522,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,C Shift,26/09/2008
00000524,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,14/12/2007
00000525,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9002,SYD Shift 2,B Shift,13/11/2013
00000530,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9002,SYD Shift 2,B Shift,13/11/2013
00000534,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9001,SYD Shift 1,A Shift,12/11/2013
00000535,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9190,SYD Resort,Stock Control,11/08/2007
00000537,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Machine Maintenance,17/11/2012
00000537,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,,,,17/11/2012
00000539,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,7/12/2011
00000542,Termination (HR checklist),Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,C Shift,31/05/2000
00000546,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,4/09/2010
00000548,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9230,SYD Maint - Electric,Plant Electrical Sydney,13/11/2013
00000549,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9250,SYD Maint - Cold End,Maintenance-Cold End,30/10/2011
00000550,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Staff,Sydney Day,9020,SYD Unit PlntMrg SP1,Production Line Management 2,20/10/2018
00000551,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,B Shift,25/01/2008
00000552,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,C Shift,1/07/2012
00000555,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9110,SYD Melt,Batch & Furnace,29/12/2013
00000556,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9815,SYD SP31 MachineLine,D Shift,7/09/2015
00000558,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9290,SYD HR & Training,Engineering,1/02/2003
00000559,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9170,SYD Pack,D Shift,4/10/2018
00000563,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,8/07/2006
00000569,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,C Shift,21/07/2006
00000570,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9140,SYD Job Change,Forming Job Change,25/12/2003
00000571,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9160,SYD Inspect,A Shift,28/12/2010
00000572,Termination (HR checklist),Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9240,SYD Maint - Machine,Machine Maintenance,11/08/2008
00000573,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9120,SYD Forming Services,B Shift,25/05/2002
00000578,Auto Terminations,Retrenchment(2008+),1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9004,SYD Shift 4,D Shift,13/11/2013
00000579,Auto Terminations,Dismissal,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9210,SYD Mould Repair,Mould Repair,21/10/2001
00000581,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,10/07/2010
00000582,Auto Terminations,Illness Disability,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,26/02/2000
00000583,Auto Terminations,Retirement,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,C Shift,3/04/2011
00000584,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Day,9210,SYD Mould Repair,Mould Repair,9/08/2008
00000585,Auto Terminations,Resignation,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9130,SYD Forming,A Shift,9/08/2008
00000587,Termination (HR checklist),Retrenchment,1000,ACI Operations Pty Ltd,NSW - GPA - Wages,Sydney Shift,9250,SYD Maint - Cold End,Maintenance-Cold End,23/10/2011
